Name,Hiring Date,Department,Birthday,Month,Anniversary
Joseph Juarez,2019-08-08 02:49:51.404695,Marketing,1992-02-09,February,August
Joshua Carrillo,2021-12-10 14:47:38.600606,Marketing,1978-02-06,February,December
Rebecca Stevens,2021-04-29 10:27:52.801867,IT,1969-07-13,July,April
Shannon Craig,2019-11-27 12:40:54.480329,Finance,1973-05-22,May,November
Debra Peterson,2019-08-08 08:42:02.613491,R&D,1959-02-20,February,August
Mary Brooks,2020-08-27 21:32:52.756272,IT,1962-07-15,July,August
Troy Miller,2022-08-05 10:36:19.522045,Finance,1963-01-23,January,January
Patrick Jordan,2021-10-16 02:04:24.568027,R&D,1981-02-15,February,October
Charles Ryan,2023-11-15 06:27:05.855878,R&D,1980-11-02,November,November
Matthew Hartman,2019-03-21 00:54:29.346149,R&D,1969-02-20,February,March
Rita Long,2022-10-29 12:36:13.529388,HR,1997-01-14,January,October
Ryan Peters,2020-05-21 06:07:48.315054,R&D,1988-08-08,August,May
Michael Williams,2022-04-12 13:12:56.974756,IT,1991-10-25,October,April
Lisa Walton,2020-02-25 13:34:09.866634,IT,1995-03-05,March,February
Veronica Moore DDS,2022-12-06 02:26:04.671249,IT,1959-12-11,December,December
Jacqueline Ramirez,2020-11-25 00:50:45.477493,HR,1987-10-19,October,November
Tiffany Myers,2021-08-24 21:20:38.512328,HR,1991-09-03,September,August
Lisa Fry,2019-12-31 12:03:00.468801,IT,1966-01-10,January,December
Melissa Robertson,2021-01-20 18:09:45.014972,Finance,1965-12-01,December,January
Hannah Hernandez,2021-02-12 03:39:16.177479,Marketing,1980-09-02,September,February
Miss Patricia Williams,2023-09-30 00:10:14.154542,Finance,1981-05-01,May,September
William Stewart,2023-12-21 23:25:55.564478,Marketing,1986-03-01,March,December
Samantha Young,2020-07-24 07:19:43.557384,Finance,2002-01-26,January,July
Caleb Mcgrath,2020-06-01 04:08:34.473547,IT,1989-05-19,May,June
Billy Coleman,2020-02-16 00:33:52.973661,Finance,1979-04-04,April,February
Amanda Davis,2021-07-01 06:59:43.670789,Finance,1972-06-30,June,July
Paul Mendez,2022-04-10 09:37:23.200837,HR,1983-08-24,August,April
Mrs. Colleen Davis,2021-07-22 21:29:07.541672,HR,1966-11-12,November,July
Eric Wilson,2019-05-19 16:34:53.773209,R&D,1958-12-22,December,May
Zoe Clark,2019-07-13 19:32:28.725037,HR,1960-09-23,September,July
Susan Mckee,2021-04-26 17:42:10.759451,Marketing,1990-03-31,March,April
Michelle Oliver,2021-03-27 07:16:38.628483,R&D,1991-04-25,April,March
Keith Estrada,2019-06-20 21:24:30.648534,Finance,1989-09-03,September,June
Rebecca Schroeder,2023-01-11 19:05:02.740051,Finance,1978-03-29,March,January
Theresa Velez,2021-07-23 08:40:10.136555,Finance,1987-09-09,September,July
Shawn Castillo,2020-05-06 23:20:09.232773,HR,1962-11-21,November,May
John Lam,2023-07-31 23:18:03.569383,HR,1999-10-21,October,July
Taylor Kirby,2021-06-22 22:37:29.654746,Finance,1999-01-11,January,June
Jeffrey Grant,2021-01-07 16:43:22.615054,HR,1987-07-13,July,January
Patrick Kennedy,2021-06-10 10:33:40.483084,IT,1994-04-27,April,June
Jasmine Deleon,2020-04-22 05:12:51.952470,HR,1996-04-13,April,April
Brian Davis,2023-12-06 09:59:03.578953,Finance,1962-03-14,March,December
Jason Andrews,2021-10-25 10:36:44.780478,R&D,1988-01-21,January,October
James White,2023-04-23 21:19:13.740480,IT,1983-03-21,March,April
Kelsey Shah,2022-03-28 08:33:22.811638,R&D,1986-12-24,December,March
Mike Boyle,2023-09-23 19:06:07.225092,HR,1969-04-13,April,September
Donald Wilson,2020-12-22 04:13:20.469597,IT,1971-10-10,October,December
Chase Ayala,2021-08-17 16:46:03.651482,Finance,1959-03-10,March,August
April Fitzgerald,2021-10-29 11:18:03.903039,HR,1973-09-06,September,October
Jessica Oliver,2020-01-17 07:58:58.553478,HR,1970-11-20,November,January
Taylor Gamble,2021-01-11 19:10:14.951589,Marketing,1997-09-30,September,January
Anthony Obrien,2021-04-01 06:37:30.169467,R&D,2001-07-01,July,April
Anita Singh,2022-04-21 10:07:56.334188,IT,1994-03-03,March,April
Elijah Harris,2021-05-24 12:57:34.719336,HR,1982-02-12,February,May
Anthony Burns,2021-03-16 23:30:53.256618,Marketing,1966-06-20,June,March
Michael Keller,2021-09-13 04:13:00.570969,Marketing,1977-06-30,June,September
John Nielsen,2023-12-08 13:51:27.667654,R&D,1977-05-12,May,December
Thomas Zhang,2021-01-30 02:06:58.582137,Marketing,1984-02-05,February,January
Michael Lambert,2021-12-30 01:28:02.978097,R&D,1996-02-28,February,December
Jason Russo,2022-04-13 08:59:31.207671,R&D,1988-05-30,May,April
Hannah Paul,2020-04-08 07:01:05.204710,R&D,1976-12-21,December,April
Sandra Wells,2023-04-01 01:00:06.654673,IT,1998-03-10,March,April
Tammy Lopez,2023-02-23 03:23:14.157633,HR,1978-05-14,May,February
John Wright,2022-06-01 16:16:08.557085,Finance,1989-08-04,August,June
Charles Garza,2022-10-28 03:28:32.062690,IT,2002-11-23,November,October
Bernard Harmon,2020-06-19 19:46:27.895940,Finance,1974-10-30,October,June
James Harrington,2019-02-26 13:34:52.559667,HR,2001-10-20,October,February
Gregory Mitchell,2020-04-19 10:29:15.920398,HR,1979-01-11,January,April
Amanda Gomez,2020-09-27 10:53:36.291755,IT,1995-11-12,November,September
Mr. William Terry,2021-08-12 19:39:27.289285,HR,1979-10-22,October,August
Erik Figueroa,2020-09-30 11:57:17.728328,R&D,1978-09-18,September,September
Shannon Frank,2022-06-02 19:04:23.201603,IT,1975-09-06,September,June
Jason Anderson,2020-06-09 15:27:31.370315,R&D,1993-11-18,November,June
Katherine Perry,2019-04-22 01:46:48.130567,R&D,1998-03-27,March,April
Stephen Aguilar,2023-07-19 23:45:18.131739,Marketing,1980-06-14,June,July
Terry Harrison,2020-09-01 05:10:33.778838,IT,1961-04-02,April,September
Sherri Gonzales,2021-05-21 19:39:30.639875,HR,1994-02-14,February,May
Brandon Bailey,2022-05-13 20:48:46.566000,HR,1970-04-10,April,May
Angela Brown,2021-04-05 07:35:36.673984,R&D,2001-08-24,August,April
Shannon Ramirez,2019-05-10 18:44:08.140510,IT,1963-04-07,April,May
Michele Briggs,2022-05-11 21:17:27.258029,IT,1996-10-23,October,May
Richard Brown,2023-04-02 04:44:26.836215,Finance,1979-03-26,March,April
Joel Barker,2021-02-12 05:35:14.127379,IT,1979-05-20,May,February
Kim Brown,2023-08-26 20:50:17.853221,HR,1995-02-06,February,August
Kristine Cruz,2021-09-21 00:37:36.877132,HR,1963-07-28,July,September
Michael Blair,2020-04-02 22:08:21.418699,Finance,1987-05-07,May,April
Jeremy Shepard,2024-02-22 03:41:37.114034,Marketing,1979-06-16,June,February
Jeffrey Davis,2020-03-16 03:20:18.379212,IT,1961-12-19,December,March
Ariel Hill,2024-01-20 18:58:20.867092,Finance,1996-11-02,November,January
Rachael Martinez,2019-11-07 04:04:56.004754,HR,1965-02-01,February,November
Ashley Cook,2020-12-14 11:08:38.696219,R&D,1995-01-19,January,December
April Nicholson,2020-02-22 01:02:31.702093,Finance,1992-04-20,April,February
Emily Donaldson,2021-12-12 15:02:38.121274,IT,1996-05-18,May,December
Cindy Walters,2022-06-12 23:50:21.468166,Finance,1995-10-21,October,June
Kimberly Perry,2023-01-07 21:34:38.282347,HR,1996-09-08,September,January
Brenda Henderson,2019-05-06 11:10:46.422645,HR,1987-05-05,May,May
Ronnie Harris,2023-01-26 01:10:21.265689,R&D,1979-12-29,December,January
Robert Phillips,2022-04-10 17:48:02.983773,HR,1982-04-02,April,April
Sean Miller,2023-05-19 11:20:00.284818,R&D,1990-02-19,February,May
Kimberly Williams,2024-02-14 16:20:19.921825,R&D,1982-03-20,March,February
